idx,prompt,answer,pred,correct,latency_ms,flags
0,Alice bought a coin at StoreA. StoreA is in Paris. In which city did Alice buy the coin?,Paris,Paris,1,0.0,pre_replay
1,Carol bought a coin at StoreC. StoreC is in London. In which city did Carol buy the coin?,London,London,1,0.0,pre_replay
2,Alice bought a coin at StoreB. StoreB is in Paris. In which city did Alice buy the coin?,Paris,Paris,1,0.0,pre_replay
3,Alice bought a book at StoreA. StoreA is in Berlin. In which city did Alice buy the book?,Berlin,Berlin,1,0.0,pre_replay
4,Alice bought a coin at StoreA. StoreA is in Paris. In which city did Alice buy the coin?,Paris,Paris,1,0.0,pre_replay
5,Alice bought a apple at StoreA. StoreA is in Paris. In which city did Alice buy the apple?,Paris,Paris,1,0.0,pre_replay
6,Bob bought a coin at StoreB. StoreB is in Rome. In which city did Bob buy the coin?,Rome,Rome,1,0.0,pre_replay
7,Alice bought a book at StoreC. StoreC is in London. In which city did Alice buy the book?,London,London,1,0.0,pre_replay
8,Bob bought a book at StoreA. StoreA is in Paris. In which city did Bob buy the book?,Paris,Paris,1,0.0,pre_replay
9,Alice bought a apple at StoreC. StoreC is in Rome. In which city did Alice buy the apple?,Rome,Rome,1,0.0,pre_replay
10,Alice bought a coin at StoreB. StoreB is in Berlin. In which city did Alice buy the coin?,Berlin,Berlin,1,0.0,pre_replay
11,Bob bought a ball at StoreC. StoreC is in Berlin. In which city did Bob buy the ball?,Berlin,Berlin,1,0.0,pre_replay
12,Dave bought a coin at StoreC. StoreC is in Paris. In which city did Dave buy the coin?,Paris,Paris,1,0.0,pre_replay
13,Dave bought a book at StoreB. StoreB is in London. In which city did Dave buy the book?,London,London,1,0.0,pre_replay
14,Carol bought a apple at StoreC. StoreC is in Rome. In which city did Carol buy the apple?,Rome,Rome,1,0.0,pre_replay
15,Bob bought a ball at StoreB. StoreB is in Rome. In which city did Bob buy the ball?,Rome,Rome,1,0.0,pre_replay
16,Carol bought a book at StoreC. StoreC is in London. In which city did Carol buy the book?,London,London,1,0.0,pre_replay
17,Carol bought a ball at StoreC. StoreC is in London. In which city did Carol buy the ball?,London,London,1,0.0,pre_replay
18,Alice bought a ball at StoreC. StoreC is in London. In which city did Alice buy the ball?,London,London,1,0.0,pre_replay
19,Dave bought a ball at StoreC. StoreC is in London. In which city did Dave buy the ball?,London,London,1,0.0,pre_replay
20,Carol bought a book at StoreC. StoreC is in Berlin. In which city did Carol buy the book?,Berlin,Berlin,1,0.0,pre_replay
21,Alice bought a apple at StoreA. StoreA is in London. In which city did Alice buy the apple?,London,London,1,0.0,pre_replay
22,Bob bought a apple at StoreC. StoreC is in Berlin. In which city did Bob buy the apple?,Berlin,Berlin,1,0.0,pre_replay
23,Bob bought a ball at StoreC. StoreC is in Paris. In which city did Bob buy the ball?,Paris,Paris,1,0.0,pre_replay
24,Alice bought a coin at StoreA. StoreA is in London. In which city did Alice buy the coin?,London,London,1,0.0,pre_replay
25,Bob bought a apple at StoreC. StoreC is in Rome. In which city did Bob buy the apple?,Rome,Rome,1,0.0,pre_replay
26,Carol bought a apple at StoreC. StoreC is in Rome. In which city did Carol buy the apple?,Rome,Rome,1,0.0,pre_replay
27,Carol bought a apple at StoreB. StoreB is in London. In which city did Carol buy the apple?,London,London,1,0.0,pre_replay
28,Dave bought a apple at StoreA. StoreA is in London. In which city did Dave buy the apple?,London,London,1,0.0,pre_replay
29,Bob bought a coin at StoreB. StoreB is in London. In which city did Bob buy the coin?,London,London,1,0.0,pre_replay
30,Alice bought a ball at StoreC. StoreC is in Rome. In which city did Alice buy the ball?,Rome,Rome,1,0.0,pre_replay
31,Carol bought a coin at StoreB. StoreB is in Rome. In which city did Carol buy the coin?,Rome,Rome,1,0.0,pre_replay
32,Alice bought a apple at StoreB. StoreB is in Berlin. In which city did Alice buy the apple?,Berlin,Berlin,1,0.0,pre_replay
33,Dave bought a coin at StoreB. StoreB is in Rome. In which city did Dave buy the coin?,Rome,Rome,1,0.0,pre_replay
34,Alice bought a apple at StoreC. StoreC is in London. In which city did Alice buy the apple?,London,London,1,0.0,pre_replay
35,Carol bought a book at StoreB. StoreB is in London. In which city did Carol buy the book?,London,London,1,0.0,pre_replay
36,Bob bought a coin at StoreC. StoreC is in London. In which city did Bob buy the coin?,London,London,1,0.0,pre_replay
