idx,prompt,answer,pred,correct,latency_ms,time_ms_per_100,rss_mb,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,Carol saw at the Park on Thursday. Where was Carol?,the Park,"I'm sorry, but I don't have enough information to determine where Carol was. It's possible that you're asking about someone named Carol who went to the park on Thursday, or that there's some other context missing from your question. Could you please provide more details so I can assist you better?",0,2030.7519180023519,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Bob helped at the Cafe on Thursday. When was Bob at the Cafe?,Thursday,"I'm sorry, but I don't have enough information to determine when Bob was at the cafe. Could you please provide more context or details about the situation?",0,833.5130349987594,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Carol found at the Mall on Wednesday. Who was at the Mall?,Carol,"I'm sorry, but your question is not clear. Could you please provide more information or context so I can better assist you?",0,677.3411620015395,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Dave saw at the Library on Wednesday. When was Dave at the Library?,Wednesday,"I'm sorry, but I don't have enough information to determine when Dave was at the library. Could you please provide more context or details about the situation?",0,838.8262670014228,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Alice met at the Cafe on Thursday. Who was at the Cafe?,Alice,"The statement ""Alice met at the Cafe on Thursday"" is incomplete and does not provide enough information to determine who was at the Cafe. Without additional context or details about Alice's interactions with others, it is impossible to answer this question accurately.",0,1231.191246999515,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Bob met at the Park on Tuesday. When was Bob at the Park?,Tuesday,"I'm sorry, but I cannot answer this question as there is not enough information provided in your statement to determine when Bob was at the park. The statement only tells us that Bob met someone at the park on Tuesday, but it does not provide any additional details about his whereabouts or activities during that time period. To answer this question accurately, we would need more specific information about Bob's movements and activities throughout Tuesday.",0,2069.090347002202,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Carol met at the Park on Thursday. What did Carol do?,met,"I'm sorry, but I don't have enough information to answer your question. The statement ""Carol met at the Park on Thursday"" is incomplete and doesn't provide any context or details about what happened after they met. Without more information, it's impossible for me to determine what Carol did next. Could you please provide more context or clarify your question?",0,1766.4426490009646,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Carol saw at the Library on Tuesday. Who was at the Library?,Carol,"I'm sorry, but I need more information to answer your question accurately. Could you please provide me with additional details about who Carol saw at the library?",0,806.22890900122,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Dave met at the Mall on Wednesday. Where was Dave?,the Mall,"It is not clear where Dave was located based solely on the information provided in your question. The statement ""Dave met at the Mall on Wednesday"" does not specify which mall or location within the mall Dave met at. Without additional context, it's impossible to determine the exact place where Dave made his meeting. If you have more details about the specific event or location of interest, I would be happy to try and assist further.",0,2120.295194999926,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alice saw at the Park on Monday. What did Alice do?,saw,"I'm sorry, but I don't have enough information to answer your question. Could you please provide more context or clarify your query?",0,694.8665769996296,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Carol met at the Library on Thursday. Where was Carol?,the Library,"The information provided is insufficient to determine where Carol was located, as it only states that she met at the Library on Thursday. Without additional context or details about what happened after this meeting, we cannot accurately pinpoint her location. To provide more specific information, please share any further details or questions you may have.",0,1531.7775099974824,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Alice found at the Park on Tuesday. Who was at the Park?,Alice,"I'm sorry, but I cannot answer this question without additional context or information. Could you please provide more details about what Alice found in the park and when it happened?",0,885.335307000787,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Alice saw at the Park on Wednesday. What did Alice do?,saw,"I'm sorry, but I don't have enough information to answer your question. Can you provide more context or details about what you're asking?",0,753.6549510004988,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Dave helped at the Library on Tuesday. Where was Dave?,the Library,"I'm sorry, but I don't have enough information to determine where Dave was. Could you please provide more context or details about your question?",0,747.6586539996788,1477.5557213824588,1773.7890625,pre_replay,False,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
