suite,preset,em_raw_mean,em_raw_ci,em_norm_mean,em_norm_ci,f1_mean,f1_ci
episodic_cross,rag,0.0,0.0,0.0,0.0,0.2516666666666666,0.03926799658189292
semantic,rag,0.32,0.027718585822512683,0.32,0.027718585822512683,0.3219642857142857,0.02846104794275855
episodic_multi,rag,0.52,0.05543717164502537,0.52,0.05543717164502537,0.52,0.05543717164502537
spatial,rag,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,rag,0.0,0.0,0.0,0.0,0.19238095238095237,0.058077036961455074
episodic,rag,0.08,0.05543717164502532,0.08,0.05543717164502532,0.20772121212121214,0.012425766048516302
episodic_cross,core,0.0,0.0,0.0,0.0,0.26333333333333325,0.004619764303752064
semantic,core,0.25,0.06929646455628163,0.25,0.06929646455628163,0.25,0.06929646455628163
episodic_multi,core,0.54,0.027718585822512683,0.54,0.027718585822512683,0.54,0.027718585822512683
spatial,core,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,core,0.0,0.0,0.0,0.0,0.20285714285714287,0.017159124556793515
episodic,core,0.09,0.013859292911256333,0.09,0.013859292911256333,0.22611111111111112,0.0383000459658687
episodic_cross,span_short,0.0,0.0,0.0,0.0,0.18,0.027718585822512624
semantic,span_short,0.4,0.08315575746753798,0.4,0.08315575746753798,0.4,0.08315575746753798
episodic_multi,span_short,0.52,0.05543717164502537,0.52,0.05543717164502537,0.52,0.05543717164502537
spatial,span_short,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,span_short,0.0,0.0,0.0,0.0,0.20285714285714285,0.019798989873223278
episodic,span_short,0.12,0.08315575746753798,0.12,0.08315575746753798,0.2501237373737374,0.031154910504297095
episodic_cross,longctx,0.0,0.0,0.0,0.0,0.2616666666666666,0.03926799658189288
semantic,longctx,0.42000000000000004,0.05543717164502533,0.42000000000000004,0.05543717164502533,0.42000000000000004,0.05543717164502533
episodic_multi,longctx,0.69,0.041577878733768954,0.69,0.041577878733768954,0.69,0.041577878733768954
spatial,longctx,0.0,0.0,0.0,0.0,0.0,0.0
episodic_capacity,longctx,0.0,0.0,0.0,0.0,0.31333333333333324,0.043557777721091304
episodic,longctx,0.09,0.013859292911256333,0.09,0.013859292911256333,0.19601587301587303,0.03106241522332371
