task,model,n,seed,em,f1,tokens,time_ms_per_100
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,200,1337,1.0,0.24333333333333315,8888,239.59757292979913
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,200,4242,1.0,0.2799999999999997,8875,236.1437031887734
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,1.0,0.2699999999999989,44372,236.34148251826997
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,200,2025,1.0,0.25333333333333313,8879,237.48451758083576
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,1.0,0.25266666666666526,44397,236.8556246908499
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,50,1337,1.0,0.25333333333333324,2217,234.53257167321703
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,50,2025,1.0,0.2799999999999999,2218,234.6433400810189
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,1.0,0.25533333333333186,44403,237.78976064003788
episodic_cross,Qwen/Qwen2.5-1.5B-Instruct,50,4242,1.0,0.18666666666666665,2227,243.36828414906844
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.625,0.58,21822,105.84239184310864
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.67,0.6066666666666667,21799,104.32746089269963
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.622,0.582,109104,106.00587602929396
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.595,0.5666666666666668,21841,107.84136246968332
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.624,0.6013333333333333,109062,104.97798643615289
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.54,0.48,5466,110.33085206739138
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.5,0.46,5473,113.6360966563828
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.631,0.5916666666666667,109049,105.2228602261352
episodic_multi,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.8,0.76,5428,94.2311795135609
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.965,0.21666666666666656,61337,68.04588570357298
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.96,0.17476190476190478,61353,68.73665638681936
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.957,0.20561904761904687,306716,68.4359224350865
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.945,0.2123809523809523,61348,68.5792204472826
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.935,0.2079047619047611,306793,69.05645151258324
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.92,0.16952380952380955,15345,69.50699901596901
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.92,0.23619047619047617,15340,68.84720890484033
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.951,0.20133333333333264,306738,68.57517101207087
episodic_capacity,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.94,0.17714285714285716,15340,68.79343529986535
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.63,0.3111739926739924,8748,301.20660823040447
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.68,0.3284285714285712,8730,283.5445118671174
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.667,0.32842229437229414,43684,284.6243792029027
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.66,0.3469686147186146,8745,286.2874185134785
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.623,0.3168969696969691,43999,295.4842483624588
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.7,0.36247619047619045,2174,289.883513017497
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.7,0.3679047619047619,2179,289.86256328565696
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.652,0.3334626484626484,43746,289.440504322681
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.66,0.2808571428571429,2183,280.09390265696743
