task,model,n,seed,em,f1,tokens,time_ms_per_100
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,1337,1.0,0.635,10333,165.03250681310632
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,4242,1.0,0.63,10318,161.35209969955548
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,1.0,0.587,51676,167.6661828082603
semantic,Qwen/Qwen2.5-1.5B-Instruct,200,2025,1.0,0.56,10343,167.75467472686987
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,1.0,0.576,51685,167.5689738686263
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,1.0,0.66,2578,164.94533987577998
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,1.0,0.62,2584,170.07418366863328
semantic,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,1.0,0.586,51661,165.81720193762737
semantic,Qwen/Qwen2.5-1.5B-Instruct,50,4242,1.0,0.56,2579,169.55495688259603
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.015,0.0,18035,587.1773643803757
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.02,0.015,24511,478.82820640528075
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.014,0.0,88541,549.8091426085116
spatial,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.01,0.0,25937,474.04248860314505
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.009,0.005,130134,480.1131594318168
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.0,0.0,4417,548.3931771790834
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.0,0.0,6419,454.1932797943898
spatial,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.022,0.01,122532,478.9648892493394
spatial,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.02,0.02,6246,514.2304858949491
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,1337,0.635,0.30078571428571405,8760,291.8937227168997
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,4242,0.695,0.3679047619047619,8706,272.386767597045
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,1337,0.662,0.33594927849927836,43694,279.4451984208309
episodic,Qwen/Qwen2.5-1.5B-Instruct,200,2025,0.68,0.37984523809523796,8710,271.8042658209086
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,2025,0.631,0.32945346320346264,43966,287.83684383159436
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,1337,0.66,0.34704761904761905,2179,279.22178609454016
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,2025,0.7,0.40323809523809523,2176,276.5224594210234
episodic,Qwen/Qwen2.5-1.5B-Instruct,1000,4242,0.638,0.3361475690975691,43809,285.0620346869365
episodic,Qwen/Qwen2.5-1.5B-Instruct,50,4242,0.64,0.2951601731601732,2198,286.6590957688836
