idx,prompt,answer,pred,em_raw,em_norm,f1,pred_len,gold_len,overlong,format_violation,latency_ms,success,steps_pred,steps_opt,suboptimality,flags,gating_enabled,retrieval.episodic.avg_latency_ms,retrieval.episodic.hit_rate_at_k,retrieval.episodic.hits,retrieval.episodic.requests,retrieval.episodic.tokens_returned,retrieval.episodic.total_k,retrieval.relational.avg_latency_ms,retrieval.relational.hit_rate_at_k,retrieval.relational.hits,retrieval.relational.requests,retrieval.relational.tokens_returned,retrieval.relational.total_k,retrieval.spatial.avg_latency_ms,retrieval.spatial.hit_rate_at_k,retrieval.spatial.hits,retrieval.spatial.requests,retrieval.spatial.tokens_returned,retrieval.spatial.total_k,gates.episodic.accepts,gates.episodic.aggregated,gates.episodic.attempts,gates.episodic.blocked_new_edges,gates.episodic.inserted,gates.episodic.routed_to_episodic,gates.relational.accepts,gates.relational.aggregated,gates.relational.attempts,gates.relational.blocked_new_edges,gates.relational.inserted,gates.relational.routed_to_episodic,gates.spatial.accepts,gates.spatial.aggregated,gates.spatial.attempts,gates.spatial.blocked_new_edges,gates.spatial.inserted,gates.spatial.routed_to_episodic
0,"Carol likes blue. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,79.36390700001539,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Dave likes green. Actually, Dave likes blue. What color does Dave like?",blue,blue,,,,1,1,0,0,80.21842199991625,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Dave likes blue. Actually, Dave likes yellow. What color does Dave like?",yellow,blue,,,,1,1,0,0,78.58076200000141,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Carol likes red. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,79.99828100014383,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Dave likes red. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,,,,1,1,0,0,80.52136299988888,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"Carol likes yellow. Actually, Carol likes blue. What color does Carol like?",blue,blue,,,,1,1,0,0,80.08999100002256,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Carol likes red. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,79.38471700003902,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"Alice likes yellow. Actually, Alice likes red. What color does Alice like?",red,red,,,,1,1,0,0,80.54642399997647,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Bob likes green. Actually, Bob likes yellow. What color does Bob like?",yellow,yellow,,,,1,1,0,0,81.74076000000241,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Dave likes green. Actually, Dave likes red. What color does Dave like?",red,red,,,,1,1,0,0,79.89735999990444,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"Alice likes red. Actually, Alice likes blue. What color does Alice like?",blue,red,,,,1,1,0,0,78.64953300008892,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"Dave likes red. Actually, Dave likes yellow. What color does Dave like?",yellow,yellow,,,,1,1,0,0,79.03232500007107,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Alice likes blue. Actually, Alice likes red. What color does Alice like?",red,red,,,,1,1,0,0,78.52074200013703,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"Alice likes green. Actually, Alice likes red. What color does Alice like?",red,red,,,,1,1,0,0,79.69831800005522,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"Dave likes green. Actually, Dave likes red. What color does Dave like?",red,red,,,,1,1,0,0,81.59176000003754,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Carol likes yellow. Actually, Carol likes green. What color does Carol like?",green,green,,,,1,1,0,0,78.87621400004718,,,,,pre_replay,False,0.59734531999311,1.0,50,50,50,50,0.11436420000791259,0.0,0,50,50,50,0.06602233997455187,0.0,0,50,800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
